COMMON_NAME,mean_dia,count
KWANZAN FLOWERING CHERRY,18.399928548912474,9517
PISSARD PLUM,13.913018596280743,8335
NORWAY MAPLE,21.34197399068323,5152
CRIMEAN LINDEN,12.929018153924828,3911
NIGHT PURPLE LEAF PLUM,4.154765706351961,2881
PYRAMIDAL EUROPEAN HORNBEAM,8.138219520915266,2797
RED MAPLE,11.371889596602973,2355
KOBUS MAGNOLIA ,8.556650463985859,2263
COMMON HORSECHESTNUT,25.64703721841332,2042
AKEBONO FLOWERING CHERRY,7.434732824427481,1965
BOWHALL RED MAPLE,4.585531697341513,1956
HEDGE MAPLE,11.344314536989136,1933
AMERICAN ELM,26.531046717918393,1691
KATSURA TREE,6.525,1648
SYCAMORE MAPLE,16.238086419753085,1620
COLUMNAR NORWAY MAPLE,9.381161616161616,1584
ARMSTRONG RED MAPLE,6.546962025316455,1580
JAPANESE FLOWERING CRABAPPLE,7.583543003851091,1558
EUROPEAN BEECH,11.014197930142302,1546
REDBUD CRABAPPLE,4.516423103688239,1437
PACIFIC SUNSET MAPLE,5.057071783937456,1407
AUTUMN APPLAUSE ASH,5.0705464071856285,1336
RED OAK,24.64350699844479,1286
GLOBEHEAD NORWAY MAPLE,4.794804655029094,1203
EUROPEAN WHITE BIRCH,18.19533500837521,1194
PIN OAK,12.544458438287153,1191
LAVALLEI HYBRID HAWTHORN,5.509006211180124,1127
FLOWERING ASH,8.539774774774775,1110
WORPLESDON SWEETGUM,7.369653882132835,1069
EUROPEAN HORNBEAM,15.446830652790918,1057
CHANTICLEER PEAR,4.464928909952607,1055
TREE LILAC,3.01171875,1024
LONDON PLANE TREE,26.486885080645163,992
JAPANESE SNOWBELL,4.31019367991845,981
QUEEN ELIZABETH MAPLE,4.602934662236988,903
ENGLISH OAK,20.521119820828666,893
BASSWOOD,15.342657176749704,843
LITTLE-LEAF LINDEN,13.369700598802396,835
UKON JAPANESE CHERRY,16.5722040302267,794
DAWYCK'S BEECH,5.901964512040558,789
WESTERN RED CEDAR,19.67796103896104,770
AUTUMN BLAZE RED MAPLE,5.065137614678899,763
EUROPEAN ASH,16.55673883626522,739
RED SUNSET RED MAPLE,10.70841726618705,695
THORNLESS HONEYLOCUST,10.135510204081633,686
PERSIAN IRONWOOD,4.463409090909091,660
AUTUMN FLAME RED MAPLE,4.239406099518459,623
ENGLISH HAWTHORN,10.160194174757281,618
PATMORE ASH,7.165785123966942,605
GOLDEN DAWYCK BEECH,4.638685524126456,601
FREEMAN'S S.S. MAPLE,5.83743676222597,593
EMERALD QUEEN NORWAY MAPLE,4.352335640138408,578
DOUGLAS FIR,22.50212765957447,564
OCTOBER GLORY RED MAPLE,4.330160142348754,562
MAZZARD CHERRY,17.4573126142596,547
VANESSA PERSIAN IRONWOOD,3.475185185185185,540
BLOODGOOD PLANE TREE,9.179026217228465,534
PRINCETON GOLD MAPLE,3.6619585687382297,531
TULIPTREE,18.78965844402277,527
